period,location_a,location_b,co_mentions
post_election_upto_forming_government,Jamalpur,Panchagarh,1
post_election_upto_forming_government,Jamalpur,Rangpur,1
post_election_upto_forming_government,Jamalpur,Sherpur,1
post_election_upto_forming_government,Jamalpur,জামালপুর,1
post_election_upto_forming_government,Jamalpur,নরসিংদী,1
post_election_upto_forming_government,Jashore,Jessore,1
post_election_upto_forming_government,Jashore,Satkhira,1
post_election_upto_forming_government,Jessore,Meherpur,1
post_election_upto_forming_government,Jessore,Satkhira,1
post_election_upto_forming_government,Jessore,বাগেরহাট,1
post_election_upto_forming_government,Jessore,মাগুরা,1
post_election_upto_forming_government,Khulna,Madaripur,1
post_election_upto_forming_government,Khulna,Mymensingh,1
post_election_upto_forming_government,Khulna,Pabna,1
post_election_upto_forming_government,Khulna,Rangpur,1
post_election_upto_forming_government,Khulna,Sylhet,1
post_election_upto_forming_government,Khulna,কুষ্টিয়া,1
post_election_upto_forming_government,Khulna,গোপালগঞ্জ,1
post_election_upto_forming_government,Khulna,পিরোজপুর,1
post_election_upto_forming_government,Khulna,বাগেরহাট,1
post_election_upto_forming_government,Khulna,মাগুরা,1
post_election_upto_forming_government,Khulna,সুনামগঞ্জ,1
post_election_upto_forming_government,Kishoreganj,Mymensingh,1
post_election_upto_forming_government,Kishoreganj,Narayanganj,1
post_election_upto_forming_government,Kishoreganj,জামালপুর,1
post_election_upto_forming_government,Kurigram,Thakurgaon,1
post_election_upto_forming_government,Kushtia,Pabna,1
post_election_upto_forming_government,Kushtia,Rajshahi,1
post_election_upto_forming_government,Kushtia,Rangpur,1
post_election_upto_forming_government,Kushtia,Tangail,1
post_election_upto_forming_government,Kushtia,ঝিনাইদহ,1
post_election_upto_forming_government,Kushtia,সাতক্ষীরা,1
post_election_upto_forming_government,Lakshmipur,Sylhet,1
post_election_upto_forming_government,Lakshmipur,নোয়াখালী,1
post_election_upto_forming_government,Lakshmipur,হবিগঞ্জ,1
post_election_upto_forming_government,Lalmonirhat,Narsingdi,1
post_election_upto_forming_government,Lalmonirhat,লালমনিরহাট,1
post_election_upto_forming_government,Magura,Pirojpur,1
post_election_upto_forming_government,Manikganj,Narayanganj,1
post_election_upto_forming_government,Manikganj,বান্দরবান,1
post_election_upto_forming_government,Manikganj,মানিকগঞ্জ,1
post_election_upto_forming_government,Meherpur,মেহেরপুর,1
post_election_upto_forming_government,Munshiganj,Rajshahi,1
