dataset,term,count,relative_freq,others_avg_relative_freq,distinctiveness_score
After Forming Government Data With Location,খাঁ,4,0.00043980208905992305,8.547008547008547e-05,0.0003543320035898376
After Forming Government Data With Location,পিছন,4,0.00043980208905992305,8.547008547008547e-05,0.0003543320035898376
After Forming Government Data With Location,পরিস্কার,4,0.00043980208905992305,8.547008547008547e-05,0.0003543320035898376
After Forming Government Data With Location,খাওন,4,0.00043980208905992305,8.547008547008547e-05,0.0003543320035898376
After Forming Government Data With Location,je,4,0.00043980208905992305,8.547008547008547e-05,0.0003543320035898376
After Forming Government Data With Location,চেটেপুটে,4,0.00043980208905992305,8.547008547008547e-05,0.0003543320035898376
After Forming Government Data With Location,ভাব,4,0.00043980208905992305,8.547008547008547e-05,0.0003543320035898376
After Forming Government Data With Location,জলে,4,0.00043980208905992305,8.547008547008547e-05,0.0003543320035898376
After Forming Government Data With Location,জমিদার,4,0.00043980208905992305,8.547008547008547e-05,0.0003543320035898376
After Forming Government Data With Location,বিপদ,4,0.00043980208905992305,8.547008547008547e-05,0.0003543320035898376
After Forming Government Data With Location,বেশী,4,0.00043980208905992305,8.91622770035584e-05,0.00035063981205636467
After Forming Government Data With Location,কাল,4,0.00043980208905992305,8.91622770035584e-05,0.00035063981205636467
After Forming Government Data With Location,বুঝি,5,0.0005497526113249038,0.00019943019943019944,0.00035032241189470435
After Forming Government Data With Location,একটু,20,0.0021990104452996153,0.001850254667873889,0.0003487557774257263
After Forming Government Data With Location,এটাই,11,0.0012094557449147884,0.0008657774293012734,0.00034367831561351496
After Forming Government Data With Location,মা,5,0.0005497526113249038,0.0002068145824971453,0.00034293802882775853
After Forming Government Data With Location,মাধ্যমে,12,0.0013194062671797692,0.0009797375432613875,0.0003396687239183816
After Forming Government Data With Location,অন্তরে,5,0.0005497526113249038,0.00021050677403061823,0.0003392458372942856
After Forming Government Data With Location,বাড়ি,6,0.0006597031335898846,0.0003207746964572593,0.0003389284371326253
After Forming Government Data With Location,খুশি,6,0.0006597031335898846,0.0003244668879907322,0.0003352362455991524
After Forming Government Data With Location,সে,23,0.0025288620120945573,0.0021947796975099487,0.00033408231458460867
After Forming Government Data With Location,ভালো,38,0.004178119846069269,0.003845604165953638,0.0003325156801156307
After Forming Government Data With Location,হাজার,6,0.0006597031335898846,0.0003281590795242051,0.0003315440540656795
After Forming Government Data With Location,jole,3,0.0003298515667949423,0.0,0.0003298515667949423
After Forming Government Data With Location,বাইটে,3,0.0003298515667949423,0.0,0.0003298515667949423
After Forming Government Data With Location,আবর্জনা,3,0.0003298515667949423,0.0,0.0003298515667949423
After Forming Government Data With Location,দেখো,3,0.0003298515667949423,0.0,0.0003298515667949423
After Forming Government Data With Location,sathe,3,0.0003298515667949423,0.0,0.0003298515667949423
After Forming Government Data With Location,মালিকের,3,0.0003298515667949423,0.0,0.0003298515667949423
After Forming Government Data With Location,দৌড়াইছে,3,0.0003298515667949423,0.0,0.0003298515667949423
After Forming Government Data With Location,লাগলেও,3,0.0003298515667949423,0.0,0.0003298515667949423
After Forming Government Data With Location,তুর,3,0.0003298515667949423,0.0,0.0003298515667949423
After Forming Government Data With Location,বঙ্গবন্ধুকে,3,0.0003298515667949423,0.0,0.0003298515667949423
After Forming Government Data With Location,np,3,0.0003298515667949423,0.0,0.0003298515667949423
After Forming Government Data With Location,আলম,3,0.0003298515667949423,0.0,0.0003298515667949423
After Forming Government Data With Location,কস্ট,3,0.0003298515667949423,0.0,0.0003298515667949423
